"exp","dpi","synID","comID","syncom","strain","rep","cell","total_area","cell_area","logCell"
"e2","14dpi","C","Com04","C.04","meL92",2,6881,0.004884354384,1408783.93724676,6.1488443912238
"e2","14dpi","C","Com04","C.04","meL92",3,2792,0.003506715968,796186.524793559,5.90101482301281
"e2","14dpi","C","Com04","C.04","meL92",4,2834,0.00500959424,565714.47990167,5.75259729498738
"e2","14dpi","C","Com10","C.10","smfr1",1,9788,0.00500959424,1953850.85719038,6.29089140975569
"e2","14dpi","C","Com10","C.10","smfr1",2,4873,0.004884354384,997675.356227797,5.9989892447587
"e2","14dpi","C","Com10","C.10","smfr1",3,11015,0.00500959424,2198780.87371803,6.34218195056273
"e2","14dpi","C","Com10","C.10","smfr1",4,12725,0.005260073952,2419167.50907307,6.3836659410148
"e2","14dpi","C","Com13","C.13","spfa2",1,37880,0.00500959424,7561490.64879155,6.87860741940718
"e2","14dpi","C","Com13","C.13","spfa2",2,27783,0.00500959424,5545958.14929714,6.74397658799736
"e2","14dpi","C","Com13","C.13","spfa2",3,12789,0.00500959424,2552901.37031138,6.40703403644274
"e2","14dpi","C","Com13","C.13","spfa2",4,800,0.001753357984,456267.349451896,5.65921939171761
"e2","14dpi","S2","Com02","S2.02","meL85",1,3646,0.00250479712,1455606.91158891,6.16304410905888
"e2","14dpi","S2","Com02","S2.02","meL85",2,2488,0.00250479712,993294.019756778,5.9970778207587
"e2","14dpi","S2","Com02","S2.02","meL85",3,2291,0.00250479712,914644.935395007,5.96125253392932
"e2","14dpi","S2","Com02","S2.02","meL85",4,358,0.002379557264,150448.154964007,5.17738686609495
"e2","14dpi","S2","Com02","S2.02","mr01",1,5724,0.00250479712,2285215.01972982,6.35892706982766
"e2","14dpi","S2","Com02","S2.02","mr01",2,7005,0.00250479712,2796633.68504672,6.44663558436172
"e2","14dpi","S2","Com02","S2.02","mr01",3,8928,0.00250479712,3564360.53391821,6.55198162633343
"e2","14dpi","S2","Com02","S2.02","mr01",4,5268,0.00250479712,2103164.34729852,6.32287321102967
"e2","14dpi","S2","Com03","S2.03","meL85",1,2568,0.002254317408,1139147.4824649,6.05657995469741
"e2","14dpi","S2","Com03","S2.03","meL85",2,3140,0.00250479712,1253594.54261908,6.09815709281314
"e2","14dpi","S2","Com03","S2.03","meL85",4,1313,0.00250479712,524194.151101547,5.7194921708294
"e2","14dpi","S2","Com03","S2.03","meL92",1,935,0.002254317408,414759.694744814,5.61779654617311
"e2","14dpi","S2","Com03","S2.03","meL92",2,2022,0.00250479712,807251.008017767,5.9070085959949
"e2","14dpi","S2","Com03","S2.03","meL92",4,1875,0.00250479712,748563.620194517,5.87422871680366
"e2","14dpi","S2","Com05","S2.05","meL92",1,1148,0.00250479712,458320.55252443,5.66116933280188
"e2","14dpi","S2","Com05","S2.05","meL92",2,5726,0.00250479712,2286013.48759136,6.3590787884255
"e2","14dpi","S2","Com05","S2.05","meL92",3,2249,0.00250479712,897877.11030265,5.95321690017555
"e2","14dpi","S2","Com05","S2.05","meL92",4,5566,0.00250479712,2222136.0586681,6.34677064673795
"e2","14dpi","S2","Com05","S2.05","meL92",5,6097,0.00250479712,2434129.27590718,6.38634363976184
"e2","14dpi","S2","Com05","S2.05","meL92",6,5695,0.00250479712,2273637.23573748,6.35672117315504
"e2","14dpi","S2","Com05","S2.05","meL92",7,1499,0.00250479712,598451.662224843,5.7770290775882
"e2","14dpi","S2","Com05","S2.05","meL92",8,1479,0.00250479712,590466.983609435,5.77119561873682
"e2","14dpi","S2","Com05","S2.05","mr01",1,4628,0.00250479712,1847654.63160545,6.26662079501963
"e2","14dpi","S2","Com05","S2.05","mr01",2,5991,0.00250479712,2391810.47924552,6.37872676433029
"e2","14dpi","S2","Com05","S2.05","mr01",3,4382,0.00250479712,1749443.08463593,6.24289981796461
"e2","14dpi","S2","Com05","S2.05","mr01",4,4003,0.00250479712,1598133.42487395,6.20361303484503
"e2","14dpi","S2","Com05","S2.05","mr01",5,20556,0.00250479712,8206652.68091653,6.91416605375306
"e2","14dpi","S2","Com05","S2.05","mr01",6,8840,0.00250479712,3529227.94801042,6.547679709753
"e2","14dpi","S2","Com05","S2.05","mr01",7,11042,0.00250479712,4408341.06356686,6.64427518754404
"e2","14dpi","S2","Com05","S2.05","mr01",8,15131,0.00250479712,6040808.60648706,6.78109507601033
"e2","14dpi","S2","Com06","S2.06","meL92",1,5359,0.00250479712,2139494.63499862,6.33031120178353
"e2","14dpi","S2","Com06","S2.06","meL92",2,8845,0.00250479712,3531224.11766427,6.54792528198566
"e2","14dpi","S2","Com06","S2.06","meL92",3,8300,0.00250479712,3313641.6253944,6.520305537116
"e2","14dpi","S2","Com06","S2.06","meL92",4,21100,0.00250479712,8423835.93925563,6.92550990003762
"e2","14dpi","S2","Com06","S2.06","smfr1",1,5163,0.00250479712,2061244.78456762,6.31412956978714
"e2","14dpi","S2","Com06","S2.06","smfr1",2,4780,0.00250479712,1908338.18908256,6.28065534135204
"e2","14dpi","S2","Com06","S2.06","smfr1",3,2527,0.00250479712,1008864.14305682,6.00383268665984
"e2","14dpi","S2","Com06","S2.06","smfr1",4,4907,0.00250479712,1959040.8982904,6.29204350272084
"e2","14dpi","S2","Com08","S2.08","meL85",1,14799,0.00250479712,5908262.94147128,6.77145981492173
"e2","14dpi","S2","Com08","S2.08","meL85",2,6679,0.00250479712,2666483.42361556,6.42593888820466
"e2","14dpi","S2","Com08","S2.08","meL85",3,8195,0.00250479712,3271722.0626635,6.51477640264644
"e2","14dpi","S2","Com08","S2.08","meL85",4,5048,0.00250479712,2015332.88252902,6.304346790976
"e2","14dpi","S2","Com08","S2.08","smfr1",1,10844,0.00250479712,4329292.74527432,6.63641695364837
"e2","14dpi","S2","Com08","S2.08","smfr1",2,13076,0.00250479712,5220382.87875387,6.71770235664825
"e2","14dpi","S2","Com08","S2.08","smfr1",3,5958,0.00250479712,2378635.7595301,6.37632794361895
"e2","14dpi","S2","Com08","S2.08","smfr1",4,3638,0.00250479712,1452413.04014275,6.16209013946739
"e2","14dpi","S2","Com09","S2.09","mr01",1,20275,0.002630036976,7709017.091781,6.88699900855318
"e2","14dpi","S2","Com09","S2.09","mr01",2,13433,0.00250479712,5362909.39203891,6.72940045948965
"e2","14dpi","S2","Com09","S2.09","mr01",3,12210,0.00250479712,4874646.29470669,6.6879431086848
"e2","14dpi","S2","Com09","S2.09","mr01",4,9929,0.00250479712,3963993.69861939,6.59813295543559
"e2","14dpi","S2","Com09","S2.09","smfr1",1,5636,0.002630036976,2142935.65125907,6.3310091301073
"e2","14dpi","S2","Com09","S2.09","smfr1",2,3807,0.00250479712,1519883.57444295,6.18181032155429
"e2","14dpi","S2","Com09","S2.09","smfr1",3,5739,0.00250479712,2291203.52869138,6.36006366948688
"e2","14dpi","S2","Com09","S2.09","smfr1",4,9564,0.00250479712,3818273.31388819,6.58186701218366
"e2","14dpi","S2","Com11","S2.11","smfr1",1,1969,0.00250479712,786091.609686935,5.89547316087804
"e2","14dpi","S2","Com11","S2.11","smfr1",2,6192,0.00250479712,2472056.49933037,6.39305839241476
"e2","14dpi","S2","Com11","S2.11","smfr1",3,1899,0.00250479712,758145.234533007,5.87975240947694
"e2","14dpi","S2","Com11","S2.11","smfr1",4,3240,0.00250479712,1293517.93569613,6.11177245494653
"e2","14dpi","S2","Com11","S2.11","spfa2",1,11934,0.00250479712,4764457.72981406,6.678013478248
"e2","14dpi","S2","Com11","S2.11","spfa2",2,4227,0.00250479712,1687561.82536652,6.22725969256894
"e2","14dpi","S2","Com11","S2.11","spfa2",3,4873,0.00250479712,1945466.9446442,6.28902385612122
"e2","14dpi","S2","Com11","S2.11","spfa2",4,8216,0.00250479712,3280105.97520968,6.51588787532914
"e2","14dpi","S2","Com12","S2.12","meL85",1,4444,0.00250479712,1774195.5883437,6.24900149500875
"e2","14dpi","S2","Com12","S2.12","meL85",2,7113,0.00250479712,2839750.94956992,6.45328025343777
"e2","14dpi","S2","Com12","S2.12","meL85",3,11983,0.00250479712,4784020.19242181,6.67979300405704
"e2","14dpi","S2","Com12","S2.12","meL85",4,13492,0.00250479712,5386464.19395436,6.73130377725709
"e2","14dpi","S2","Com12","S2.12","spfa2",1,3506,0.00250479712,1399714.16128105,6.1460393564977
"e2","14dpi","S2","Com12","S2.12","spfa2",2,3163,0.00250479712,1262776.9230268,6.10132663665564
"e2","14dpi","S2","Com12","S2.12","spfa2",3,10422,0.00250479712,4160816.0264892,6.61917851357066
"e2","14dpi","S2","Com12","S2.12","spfa2",4,4356,0.00250479712,1739063.0024359,6.24031531582366
"e2","14dpi","S2","Com14","S2.14","mr01",1,4469,0.00250479712,1784176.43661296,6.25143779940028
"e2","14dpi","S2","Com14","S2.14","mr01",2,6976,0.00250479712,2785055.90105437,6.44483391666443
"e2","14dpi","S2","Com14","S2.14","mr01",3,7017,0.00250479712,2801424.49221596,6.44737892126874
"e2","14dpi","S2","Com14","S2.14","mr01",4,5882,0.00250479712,2348293.98079155,6.37075246491097
"e2","14dpi","S2","Com14","S2.14","spfa2",1,2963,0.00250479712,1182930.13687272,6.07295909621997
"e2","14dpi","S2","Com14","S2.14","spfa2",2,1803,0.00250479712,719818.777179048,5.85722317146232
"e2","14dpi","S2","Com14","S2.14","spfa2",3,705,0.002254317408,312733.245770154,5.495174052292
"e2","14dpi","S2","Com14","S2.14","spfa2",4,10246,0.00250479712,4090550.85467361,6.61178179628024
"e2","14dpi","S2","Com15","S2.15","meL92",1,4215,0.00250479712,1682771.01819727,6.22602502370068
"e2","14dpi","S2","Com15","S2.15","meL92",2,11625,0.00250479712,4641094.44520601,6.66662040630191
"e2","14dpi","S2","Com15","S2.15","meL92",3,3096,0.00250479712,1236028.24966519,6.09202839675078
"e2","14dpi","S2","Com15","S2.15","meL92",4,5961,0.00250479712,2379833.46132241,6.3765465665694
"e2","14dpi","S2","Com15","S2.15","spfa2",1,137,0.002254317408,60772.2761283845,4.783705502457
"e2","14dpi","S2","Com15","S2.15","spfa2",2,3892,0.00250479712,1553818.45855843,6.19140027633624
"e2","14dpi","S2","Com15","S2.15","spfa2",3,830,0.00250479712,331364.16253944,5.520305537116
"e2","14dpi","S2","Com15","S2.15","spfa2",4,1155,0.00250479712,461115.190039822,5.66380942896809
"e2","14dpi","S3","Com01","S3.01","meL85",1,2297,0.00187859784,1222720.45197284,6.08732717654325
"e2","14dpi","S3","Com01","S3.01","meL85",2,7,0.000751439136,9315.45838464288,3.96920423003452
"e2","14dpi","S3","Com01","S3.01","meL85",3,120,0.00187859784,63877.4289232654,4.80534742739585
"e2","14dpi","S3","Com01","S3.01","meL85",4,77,0.001001918848,76852.5316733037,4.88565817858444
"e2","14dpi","S3","Com01","S3.01","smfr1",1,5049,0.00187859784,2687642.82194639,6.42937155204371
"e2","14dpi","S3","Com01","S3.01","smfr1",2,2292,0.00187859784,1220058.89243437,6.08638079464357
"e2","14dpi","S3","Com01","S3.01","smfr1",3,2291,0.00187859784,1219526.58052668,6.08619127053762
"e2","14dpi","S3","Com01","S3.01","smfr1",4,2434,0.001753357984,1388193.41070739,6.14244997861971
"e2","14dpi","S3","Com01","S3.01","spfa2",1,8073,0.00187859784,4297354.03081268,6.63320113383164
"e2","14dpi","S3","Com01","S3.01","spfa2",2,1774,0.001753357984,1011772.84740958,6.00508302022137
"e2","14dpi","S3","Com01","S3.01","spfa2",3,281,0.001753357984,160263.906494978,5.20483572463075
"e2","14dpi","S3","Com01","S3.01","spfa2",4,1003,0.00187859784,533908.84341696,5.72746711436864
"e2","14dpi","S3","Com02","S3.02","meL92",1,2606,0.00187859784,1387204.83145025,6.14214059272479
"e2","14dpi","S3","Com02","S3.02","meL92",2,778,0.001628118128,477852.304829813,5.67929368508676
"e2","14dpi","S3","Com02","S3.02","meL92",3,1473,0.00187859784,784095.440033083,5.89436892819085
"e2","14dpi","S3","Com02","S3.02","meL92",4,1132,0.00187859784,602577.079509471,5.78001260820048
"e2","14dpi","S3","Com02","S3.02","smfr1",1,7998,0.00187859784,4257430.63773564,6.62914758114572
"e2","14dpi","S3","Com02","S3.02","smfr1",2,5643,0.00187859784,3003836.09511656,6.47767623161826
"e2","14dpi","S3","Com02","S3.02","smfr1",3,7852,0.00187859784,4179713.09921234,6.62114647227619
"e2","14dpi","S3","Com02","S3.02","smfr1",4,3250,0.00187859784,1730013.70000511,6.2380495423271
"e2","14dpi","S3","Com02","S3.02","spfa2",1,3130,0.00187859784,1666136.27108184,6.22171051889467
"e2","14dpi","S3","Com02","S3.02","spfa2",2,1248,0.00187859784,664325.260801961,5.82238076669463
"e2","14dpi","S3","Com02","S3.02","spfa2",3,1522,0.00187859784,810178.723510084,5.90858083378278
"e2","14dpi","S3","Com02","S3.02","spfa2",4,2197,0.00187859784,1169489.26120345,6.06799623826873
"e2","14dpi","S3","Com03","S3.03","mr01",1,13622,0.00187859784,7251152.80660602,6.86040705729481
"e2","14dpi","S3","Com03","S3.03","mr01",2,17480,0.00187859784,9304812.146489,6.96870760964661
"e2","14dpi","S3","Com03","S3.03","mr01",3,1792,0.00187859784,953902.938587431,5.97950418667433
"e2","14dpi","S3","Com03","S3.03","mr01",4,4902,0.001753357984,2795778.18376649,6.44650271164172
"e2","14dpi","S3","Com03","S3.03","smfr1",1,2872,0.00187859784,1528799.79889682,6.18435061691849
"e2","14dpi","S3","Com03","S3.03","smfr1",2,7276,0.00187859784,3873101.44038066,6.58805887173967
"e2","14dpi","S3","Com03","S3.03","smfr1",3,5309,0.00187859784,2826043.9179468,6.45117890668938
"e2","14dpi","S3","Com03","S3.03","smfr1",4,4173,0.00187859784,2221337.59080656,6.34661456605993
"e2","14dpi","S3","Com03","S3.03","spfa2",1,1702,0.00187859784,905994.866894982,5.95712573709679
"e2","14dpi","S3","Com03","S3.03","spfa2",2,3327,0.00187859784,1771001.71689753,6.24821898221705
"e2","14dpi","S3","Com03","S3.03","spfa2",3,4466,0.00187859784,2377304.97976086,6.37608490008364
"e2","14dpi","S3","Com03","S3.03","spfa2",4,2120,0.00187859784,1128501.24431102,6.05250204227697
"e2","14dpi","S3","Com04","S3.04","meL85",1,701,0.001753357984,399804.264957224,5.60184742269232
"e2","14dpi","S3","Com04","S3.04","meL85",2,4,0.000375719568,10646.2381538776,4.0271961770122
"e2","14dpi","S3","Com04","S3.04","meL85",3,2597,0.00187859784,1382414.024281,6.14063813097752
"e2","14dpi","S3","Com04","S3.04","meL85",4,4,0.000500959424,7984.67861540818,3.9022574404039
"e2","14dpi","S3","Com04","S3.04","meL92",1,8342,0.00187859784,4440545.93398234,6.64743636685803
"e2","14dpi","S3","Com04","S3.04","meL92",2,2320,0.00187859784,1234963.6258498,6.09165416623912
"e2","14dpi","S3","Com04","S3.04","meL92",3,114,0.001377638416,82750.3056505939,4.91776960658215
"e2","14dpi","S3","Com04","S3.04","meL92",4,4424,0.00187859784,2354947.87963772,6.37198129964486
"e2","14dpi","S3","Com04","S3.04","smfr1",1,4439,0.00187859784,2362932.55825313,6.37345132637359
"e2","14dpi","S3","Com04","S3.04","smfr1",2,3410,0.00187859784,1815183.60523613,6.25892056034072
"e2","14dpi","S3","Com04","S3.04","smfr1",3,2431,0.00187859784,1294050.24760382,6.11195114019156
"e2","14dpi","S3","Com04","S3.04","smfr1",4,8276,0.00187859784,4405413.34807454,6.64398666334192
"e2","14dpi","S3","Com05","S3.05","meL85",1,13,0.000751439136,17300.1370000511,4.2380495423271
"e2","14dpi","S3","Com05","S3.05","meL85",2,1763,0.00187859784,938465.893264308,5.97241849364754
"e2","14dpi","S3","Com05","S3.05","meL85",3,675,0.00187859784,359310.537693368,5.55546995417925
"e2","14dpi","S3","Com05","S3.05","meL85",4,1,0.000125239856,7984.67861540818,3.9022574404039
"e2","14dpi","S3","Com05","S3.05","mr01",1,7993,0.00187859784,4254769.07819717,6.6288759943181
"e2","14dpi","S3","Com05","S3.05","mr01",2,4932,0.00187859784,2625362.32874621,6.41918924927192
"e2","14dpi","S3","Com05","S3.05","mr01",3,7618,0.00187859784,4055152.11281197,6.60800714967315
"e2","14dpi","S3","Com05","S3.05","mr01",4,423,0.001753357984,241251.36102269,5.38246977210071
"e2","14dpi","S3","Com05","S3.05","smfr1",1,6326,0.00187859784,3367405.12807148,6.52729536892793
"e2","14dpi","S3","Com05","S3.05","smfr1",2,10650,0.00187859784,5669121.81693981,6.75351578912298
"e2","14dpi","S3","Com05","S3.05","smfr1",3,7660,0.00187859784,4077509.21293511,6.61039495098083
"e2","14dpi","S3","Com05","S3.05","smfr1",4,7007,0.00187859784,3729909.53721101,6.5716982988418
"e2","14dpi","S3","Com06","S3.06","meL92",1,2143,0.00187859784,1140744.41818798,6.05718835239005
"e2","14dpi","S3","Com06","S3.06","meL92",2,1719,0.00187859784,915044.169325778,5.96144205803527
"e2","14dpi","S3","Com06","S3.06","meL92",3,4677,0.00187859784,2489622.79228427,6.39613355125673
"e2","14dpi","S3","Com06","S3.06","meL92",4,1623,0.00187859784,863942.226187165,5.93648470117445
"e2","14dpi","S3","Com06","S3.06","mr01",1,485,0.001628118128,297889.932959459,5.47405582669933
"e2","14dpi","S3","Com06","S3.06","mr01",2,4253,0.00187859784,2263922.54342207,6.35486156406225
"e2","14dpi","S3","Com06","S3.06","mr01",3,7328,0.00187859784,3900781.65958074,6.59115164200802
"e2","14dpi","S3","Com06","S3.06","mr01",4,2671,0.00187859784,1421805.10545035,6.15284006936959
"e2","14dpi","S3","Com06","S3.06","smfr1",1,1339,0.001753357984,763677.476145111,5.88290998173767
"e2","14dpi","S3","Com06","S3.06","smfr1",2,4391,0.00187859784,2337381.58668382,6.36872961845261
"e2","14dpi","S3","Com06","S3.06","smfr1",3,6786,0.00187859784,3612268.60561066,6.55778003665732
"e2","14dpi","S3","Com06","S3.06","smfr1",4,9244,0.00187859784,4920691.27472221,6.69202611815529
"e2","14dpi","S3","Com07","S3.07","meL85",1,7,0.000500959424,13973.1875769643,4.1452954890902
"e2","14dpi","S3","Com07","S3.07","meL85",2,184,0.00187859784,97945.3910156737,4.99098400435776
"e2","14dpi","S3","Com07","S3.07","meL85",3,46,0.001502878272,30607.934692398,4.48583402603785
"e2","14dpi","S3","Com07","S3.07","meL85",4,456,0.001127158704,404557.049847348,5.60697977362901
"e2","14dpi","S3","Com07","S3.07","meL92",1,979,0.00187859784,521133.357632307,5.71694887315136
"e2","14dpi","S3","Com07","S3.07","meL92",2,440,0.00187859784,234217.239385307,5.36961885783441
"e2","14dpi","S3","Com07","S3.07","meL92",3,9213,0.00187859784,4904189.60558371,6.69056725251095
"e2","14dpi","S3","Com07","S3.07","meL92",4,3260,0.00187859784,1735336.81908204,6.23938378141616
"e2","14dpi","S3","Com07","S3.07","spfa2",1,4922,0.00187859784,2620039.20966927,6.41830779071501
"e2","14dpi","S3","Com07","S3.07","spfa2",2,5750,0.00187859784,3060793.4692398,6.48583402603785
"e2","14dpi","S3","Com07","S3.07","spfa2",3,1854,0.00187859784,986906.276864451,5.9942759111567
"e2","14dpi","S3","Com07","S3.07","spfa2",4,8453,0.00187859784,4499632.55573636,6.65317705032387
"e2","14dpi","S3","Com08","S3.08","meL85",1,1640,0.00187859784,872991.528617961,5.94101002939592
"e2","14dpi","S3","Com08","S3.08","meL85",2,3169,0.001628118128,1946418.96401758,6.28923632728737
"e2","14dpi","S3","Com08","S3.08","meL85",4,5,0.000250479712,19961.6965385205,4.30019744907594
"e2","14dpi","S3","Com08","S3.08","mr01",1,298,0.001628118128,183033.402107049,5.26253035217332
"e2","14dpi","S3","Com08","S3.08","mr01",2,1861,0.002003837696,928717.931454664,5.96788383087875
"e2","14dpi","S3","Com08","S3.08","mr01",3,713,0.00187859784,379538.390185736,5.57925571120009
"e2","14dpi","S3","Com08","S3.08","mr01",4,945,0.00187859784,503034.752770715,5.70159798985749
"e2","14dpi","S3","Com08","S3.08","spfa2",1,3544,0.00187859784,1886513.40086711,6.27565989456324
"e2","14dpi","S3","Com08","S3.08","spfa2",2,1678,0.002003837696,837393.169790933,5.92292941424066
"e2","14dpi","S3","Com08","S3.08","spfa2",3,832,0.00187859784,442883.507201307,5.64628950763895
"e2","14dpi","S3","Com08","S3.08","spfa2",4,1302,0.00187859784,693070.10381743,5.8407771655804
"e2","14dpi","S3","Com09","S3.09","meL92",1,93,0.00187859784,49505.0074155307,4.69464912990216
"e2","14dpi","S3","Com09","S3.09","meL92",2,1334,0.00187859784,710104.084863634,5.85132201092875
"e2","14dpi","S3","Com09","S3.09","meL92",3,50,0.001377638416,36293.9937064008,4.5598347595817
"e2","14dpi","S3","Com09","S3.09","meL92",4,66,0.001628118128,40537.59912438,4.60785802363894
"e2","14dpi","S3","Com09","S3.09","mr01",1,515,0.001753357984,293722.106209658,5.46793663376686
"e2","14dpi","S3","Com09","S3.09","mr01",2,6551,0.00187859784,3487175.3073026,6.54247378078016
"e2","14dpi","S3","Com09","S3.09","mr01",3,2639,0.00187859784,1404771.12440415,6.14760557156827
"e2","14dpi","S3","Com09","S3.09","mr01",4,620,0.00187859784,330033.382770205,5.51855787084648
"e2","14dpi","S3","Com09","S3.09","spfa2",1,2733,0.00187859784,1454808.44372737,6.16280581304088
"e2","14dpi","S3","Com09","S3.09","spfa2",2,3694,0.00187859784,1966360.18702119,6.29366307245244
"e2","14dpi","S3","Com09","S3.09","spfa2",3,7236,0.00187859784,3851808.96407291,6.585664739536
"e2","14dpi","S3","Com09","S3.09","spfa2",4,2918,0.00187859784,1553286.14665074,6.19125146890566
"e2","14dpi","S3","Com10","S3.10","meL85",1,108,0.001127158704,95816.1433848982,4.98143868645153
"e2","14dpi","S3","Com10","S3.10","meL85",2,8,0.000500959424,15969.3572308164,4.20328743606788
"e2","14dpi","S3","Com10","S3.10","meL85",3,1,0.000125239856,7984.67861540818,3.9022574404039
"e2","14dpi","S3","Com10","S3.10","meL85",4,8,0.000375719568,21292.4763077552,4.32822617267618
"e2","14dpi","S3","Com10","S3.10","meL92",1,1944,0.00187859784,1034814.3485569,6.01486244193848
"e2","14dpi","S3","Com10","S3.10","meL92",2,9770,0.00187859784,5200687.3381692,6.716060745067
"e2","14dpi","S3","Com10","S3.10","meL92",3,1830,0.00187859784,974130.791079798,5.98861727107865
"e2","14dpi","S3","Com10","S3.10","meL92",4,2357,0.001753357984,1344277.67832265,6.12848898724999
"e2","14dpi","S3","Com10","S3.10","mr01",1,2942,0.00187859784,1566061.63243539,6.19480884973973
"e2","14dpi","S3","Com10","S3.10","mr01",2,5912,0.00187859784,3147027.99828621,6.49790060673499
"e2","14dpi","S3","Com10","S3.10","mr01",3,1863,0.00187859784,991697.084033696,5.99637903624446
"e2","14dpi","S3","Com10","S3.10","mr01",4,2182,0.001753357984,1244469.19563005,6.09498415097799
